task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
glouton,2026-03-16T19:12:11,codecarbon,8075e319-4a9a-4b34-a6bb-af35bd422215,0.010033364000264555,1.8378371277987972e-10,1.8284709676784584e-08,0.0,0.0,10.0,0.0,0.0,4.6676947224316084e-08,4.6676947224316084e-08,0.0,Canada,CAN,quebec,,,Linux-6.19.6-arch1-1-x86_64-with-glibc2.43,3.13.11,3.2.3,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,-73.6985,45.5496,15.338630676269531,process,0.0,0.0,0.0,0.0,N
dynamic,2026-03-16T19:12:12,codecarbon,8075e319-4a9a-4b34-a6bb-af35bd422215,0.6228340340021532,9.174572696229624e-09,1.4730147744187869e-08,1.7456584434754183,0.0,10.0,6.062756176797169e-07,0.0,1.7238603833296416e-06,2.3301360010093584e-06,0.0,Canada,CAN,quebec,,,Linux-6.19.6-arch1-1-x86_64-with-glibc2.43,3.13.11,3.2.3,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,-73.6985,45.5496,15.338630676269531,process,0.0,0.0,0.0,0.0,N
recherche,2026-03-16T19:12:12,codecarbon,8075e319-4a9a-4b34-a6bb-af35bd422215,0.059269233999657445,8.84730300880821e-10,1.492361185555205e-08,2.365686835641646,0.0,10.0,6.220232461920033e-08,0.0,1.6249935833911867e-07,2.2470168295831921e-07,0.0,Canada,CAN,quebec,,,Linux-6.19.6-arch1-1-x86_64-with-glibc2.43,3.13.11,3.2.3,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,-73.6985,45.5496,15.338630676269531,process,0.0,0.0,0.0,0.0,N
