task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
glouton,2026-03-15T15:36:02,codecarbon,a193b515-9341-4599-a74c-b35e4304cfba,0.00621058699994137,9.795578014294491e-11,1.577551615953472e-08,14.0,0.0,10.0,2.0731966110866375e-08,0.0,4.146608333460083e-09,2.4878574444326456e-08,0.0,Canada,CAN,quebec,,,Linux-6.19.6-arch1-1-x86_64-with-glibc2.43,3.13.11,3.2.3,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,-73.6985,45.5496,15.338630676269531,process,0.0,0.0,0.0,0.0,N
dynamic,2026-03-15T15:36:05,codecarbon,a193b515-9341-4599-a74c-b35e4304cfba,2.9132241249999424,7.640198834365738e-08,2.622580582067041e-08,14.0,0.0,10.0,1.1324898931110663e-05,0.0,8.079495091666584e-06,1.9404394022777245e-05,0.0,Canada,CAN,quebec,,,Linux-6.19.6-arch1-1-x86_64-with-glibc2.43,3.13.11,3.2.3,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,-73.6985,45.5496,15.338630676269531,process,0.0,0.0,0.0,0.0,N
recherche,2026-03-15T15:36:05,codecarbon,a193b515-9341-4599-a74c-b35e4304cfba,0.06905228400000851,1.7558997984012886e-09,2.5424473549855344e-08,14.0,0.0,10.0,2.658995227779498e-07,0.0,1.800597027782809e-07,4.459592255562307e-07,0.0,Canada,CAN,quebec,,,Linux-6.19.6-arch1-1-x86_64-with-glibc2.43,3.13.11,3.2.3,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,-73.6985,45.5496,15.338630676269531,process,0.0,0.0,0.0,0.0,N
