task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
glouton,2026-03-15T16:26:45,codecarbon,4fa89d4a-2c2e-4d39-9e22-99b2437aef25,0.006716434999361809,1.1280202570030057e-10,1.6567745541404942e-08,14.0,0.0,10.0,2.28499522245329e-08,0.0,5.799236110861885e-09,2.8649188335394787e-08,0.0,Canada,CAN,quebec,,,Linux-6.19.6-arch1-1-x86_64-with-glibc2.43,3.13.11,3.2.3,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,-73.6985,45.5496,15.338630676269531,process,0.0,0.0,0.0,0.0,N
dynamic,2026-03-15T16:26:49,codecarbon,4fa89d4a-2c2e-4d39-9e22-99b2437aef25,3.313501057000394,8.6901187931913e-08,2.6226319897989548e-08,14.0,0.0,10.0,1.288212663111204e-05,0.0,9.188828958334246e-06,2.2070955589446284e-05,0.0,Canada,CAN,quebec,,,Linux-6.19.6-arch1-1-x86_64-with-glibc2.43,3.13.11,3.2.3,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,-73.6985,45.5496,15.338630676269531,process,0.0,0.0,0.0,0.0,N
recherche,2026-03-15T16:26:49,codecarbon,4fa89d4a-2c2e-4d39-9e22-99b2437aef25,0.077767085999767,1.977693266644401e-09,2.5415679455336816e-08,14.0,0.0,10.0,2.993310133312352e-07,0.0,2.0295878611149304e-07,5.022897994427299e-07,0.0,Canada,CAN,quebec,,,Linux-6.19.6-arch1-1-x86_64-with-glibc2.43,3.13.11,3.2.3,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,-73.6985,45.5496,15.338630676269531,process,0.0,0.0,0.0,0.0,N
