task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
glouton,2026-03-15T15:33:01,codecarbon,a0b24fb3-800c-48dd-8130-23a9a4e2c703,1.40643380000256,1.7848483355021625e-08,1.2690428310740668e-08,1.6631935954966168,0.0,10.0,6.532264455975374e-07,0.0,3.879888611198921e-06,4.5331150567964586e-06,0.0,Canada,CAN,quebec,,,Windows-11-10.0.26200-SP0,3.13.11,3.2.3,8,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,-73.6326,45.4904,15.928611755371094,process,0.0,0.0,0.0,0.0,N
dynamic,2026-03-15T15:33:05,codecarbon,a0b24fb3-800c-48dd-8130-23a9a4e2c703,4.3371634999639355,5.65096155398601e-08,1.3029285597124904e-08,1.7830185441951687,0.0,10.0,2.3011268186935395e-06,0.0,1.2051050000041464e-05,1.4352176818735005e-05,0.0,Canada,CAN,quebec,,,Windows-11-10.0.26200-SP0,3.13.11,3.2.3,8,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,-73.6326,45.4904,15.928611755371094,process,0.0,0.0,0.0,0.0,N
recherche,2026-03-15T15:33:09,codecarbon,a0b24fb3-800c-48dd-8130-23a9a4e2c703,3.966952000046149,5.141261195116726e-08,1.2960253607383214e-08,1.8102562162220595,0.0,10.0,2.0591948320264677e-06,0.0,1.0998457222174491e-05,1.3057652054200961e-05,0.0,Canada,CAN,quebec,,,Windows-11-10.0.26200-SP0,3.13.11,3.2.3,8,Intel(R) Core(TM) i7-8550U CPU @ 1.80GHz,-73.6326,45.4904,15.928611755371094,process,0.0,0.0,0.0,0.0,N
