task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,water_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,longitude,latitude,ram_total_size,tracking_mode,cpu_utilization_percent,gpu_utilization_percent,ram_utilization_percent,ram_used_gb,on_cloud
glouton,2026-03-17T18:53:09,codecarbon,1125e61a-3116-42a0-9384-f71e5e40209e,0.012936024999362417,1.6771461223041859e-10,1.2925410867055319e-08,0.0,0.0,10.0,0.0,0.0,4.25957555509942e-08,4.25957555509942e-08,0.0,Canada,CAN,quebec,,,Linux-6.19.8-arch1-1-x86_64-with-glibc2.43,3.13.11,3.2.3,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,-73.5703,45.4994,15.338645935058594,process,0.0,0.0,0.0,0.0,N
dynamic,2026-03-17T18:53:10,codecarbon,1125e61a-3116-42a0-9384-f71e5e40209e,1.8393096809995768,2.616970616794832e-08,1.4227745871018126e-08,1.520057831700528,0.0,10.0,1.556194414811168e-06,0.0,5.090324883339134e-06,6.646519298150302e-06,0.0,Canada,CAN,quebec,,,Linux-6.19.8-arch1-1-x86_64-with-glibc2.43,3.13.11,3.2.3,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,-73.5703,45.4994,15.338645935058594,process,0.0,0.0,0.0,0.0,N
recherche,2026-03-17T18:53:11,codecarbon,1125e61a-3116-42a0-9384-f71e5e40209e,0.0670689280013903,1.0526835888376357e-09,1.5681499575676645e-08,2.4224083505388743,0.0,10.0,8.275994568650934e-08,0.0,1.8459811111218478e-07,2.673580567986941e-07,0.0,Canada,CAN,quebec,,,Linux-6.19.8-arch1-1-x86_64-with-glibc2.43,3.13.11,3.2.3,8,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,-73.5703,45.4994,15.338645935058594,process,0.0,0.0,0.0,0.0,N
